pid,label,tag,location,location_short,description,scriptorium,scriptorium_metadata,manifest,thumbnail,full,order,layout,collection
yale_recto,Beinecke Ege 1 f. 43 r,leaf,"New Haven, Yale University, Beinecke Rare Book and Manuscript Library, Ege Family Portfolio",Beinecke Ege portfolio,Folio 43r,n/a,n/a,/img/derivatives/iiif/yale_recto/manifest.json,"/img/derivatives/iiif/images/yale_recto/full/250,/0/default.jpg",/img/derivatives/iiif/images/yale_recto/full/full/0/default.jpg,1,liturgical_item,liturgical
yale_verso,Beinecke Ege 1 f. 43 v,leaf,"New Haven, Yale University, Beinecke Rare Book and Manuscript Library, Ege Family Portfolio",Beinecke Ege portfolio,Folio 43v,n/a,n/a,/img/derivatives/iiif/yale_verso/manifest.json,"/img/derivatives/iiif/images/yale_verso/full/250,/0/default.jpg",/img/derivatives/iiif/images/yale_verso/full/full/0/default.jpg,2,liturgical_item,liturgical
